,Total Bytes,Average Packet Size,Smallest Packet,Largest Packets,25%,50%,75%,No Sources,No of Destinations,No of IP srcs,No of IP dsts,unique addresses,No TCP Flags,No Protocols,Packet Count,Average Inter Arrival Time
105,19680,118.55421686746988,60,450,60.0,84.5,114.0,7,6,4,5,9,2,4,166,0.03614648795180722891566265060
106,23439,130.21666666666667,60,450,60.0,84.5,114.0,7,7,4,5,9,2,5,180,0.03370468888888888888888888889
107,17456,96.97777777777777,60,341,60.0,83.0,108.0,8,7,5,5,10,2,5,180,0.03335475555555555555555555556
108,14310,92.3225806451613,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,155,0.03879547096774193548387096774
109,21007,93.78125,54,341,60.0,75.0,99.75,8,7,5,5,9,4,6,224,0.02918035267857142857142857143
110,13876,91.28947368421052,60,341,60.0,83.0,108.0,6,5,4,4,7,2,3,152,0.03977972368421052631578947368
111,22377,114.16836734693878,46,450,60.0,83.0,114.0,9,11,6,9,14,5,6,196,0.03084488265306122448979591837
112,26378,127.42995169082126,46,450,60.0,86.0,114.0,8,10,6,8,13,2,6,207,0.02956574879227053140096618357
113,14007,92.76158940397352,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,151,0.03983335761589403973509933775
114,14710,96.14379084967321,60,341,60.0,83.0,108.0,7,6,4,4,8,2,4,153,0.03930600653594771241830065359
115,14256,92.57142857142857,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,154,0.03912176623376623376623376623
116,14763,95.24516129032259,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,155,0.03920356129032258064516129032
117,21636,112.10362694300518,60,450,60.0,83.0,108.0,8,8,5,6,11,2,6,193,0.03133349222797927461139896373
118,23176,131.6818181818182,60,450,60.0,86.0,114.0,6,6,4,5,8,2,4,176,0.03435906818181818181818181818
119,20902,90.09482758620689,54,341,60.0,60.0,97.0,8,7,5,5,9,7,5,232,0.02588917241379310344827586207
120,20198,95.72511848341232,42,359,60.0,83.0,108.0,7,13,6,9,14,2,7,211,0.02847126066350710900473933649
121,16542,88.93548387096774,42,341,60.0,60.0,105.25,9,10,5,5,12,2,6,186,0.03232431720430107526881720430
122,17802,88.56716417910448,42,341,60.0,60.0,108.0,8,11,6,9,14,2,7,201,0.03045143781094527363184079602
123,20439,114.18435754189944,42,450,60.0,83.0,108.0,7,7,4,5,10,2,5,179,0.03351998324022346368715083799
124,25374,132.84816753926702,42,450,60.0,86.0,114.0,9,10,6,7,12,2,6,191,0.03141481675392670157068062827
125,14997,88.7396449704142,42,341,60.0,60.0,108.0,8,8,4,4,10,2,4,169,0.03550424260355029585798816568
126,14485,93.45161290322581,42,341,60.0,83.0,108.0,8,7,4,4,10,2,5,155,0.03871161935483870967741935484
127,25466,84.04620462046205,42,341,60.0,61.0,91.0,8,9,5,6,11,4,6,303,0.01980306930693069306930693069
128,75222,90.19424460431655,54,341,60.0,60.0,87.0,7,6,5,5,8,5,3,834,0.007194600719424460431654676259
129,43354,94.86652078774617,54,450,60.0,61.0,87.0,8,8,5,6,10,4,5,457,0.01312913566739606126914660832
130,61724,99.55483870967743,54,450,60.0,61.0,91.0,7,7,5,6,9,2,4,620,0.00967805
131,77143,82.06702127659574,46,341,60.0,60.0,89.0,9,10,6,8,13,5,6,940,0.006383053191489361702127659574
132,16723,93.9494382022472,46,341,60.0,83.0,108.0,8,9,6,7,12,2,6,178,0.03371005617977528089887640449
133,15399,96.84905660377359,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,159,0.03773639622641509433962264151
134,13936,91.08496732026144,60,341,60.0,83.0,108.0,7,6,4,4,8,2,4,153,0.03921709803921568627450980392
135,19146,112.62352941176471,60,450,60.0,83.0,108.0,7,6,4,5,9,2,5,170,0.03529557058823529411764705882
136,24243,133.2032967032967,60,450,60.0,86.0,114.0,8,8,4,5,11,2,6,182,0.03296916483516483516483516484
137,14105,92.79605263157895,60,341,60.0,83.0,108.0,8,7,5,5,10,2,5,152,0.03947413157894736842105263158
138,17171,98.12,60,341,60.0,83.0,108.0,6,5,4,4,7,2,3,175,0.03428704
139,14316,92.36129032258064,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,155,0.03871216129032258064516129032
140,14007,92.76158940397352,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,151,0.03973568874172185430463576159
141,19495,113.34302325581395,46,450,60.0,83.0,108.0,9,9,7,7,13,2,7,172,0.03488594186046511627906976744
142,23620,129.07103825136613,46,450,60.0,83.0,114.0,8,10,5,8,13,2,6,183,0.03278738251366120218579234973
143,17302,99.4367816091954,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,174,0.03448393103448275862068965517
144,14316,92.36129032258064,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,155,0.03871232903225806451612903226
145,14247,91.91612903225807,60,341,60.0,83.0,108.0,7,5,4,4,8,2,4,155,0.03871014838709677419354838710
146,14383,94.00653594771242,60,341,60.0,83.0,108.0,7,6,4,4,8,2,4,153,0.03921833986928104575163398693
147,19430,111.02857142857142,42,450,60.0,83.0,108.0,8,8,5,6,11,2,6,175,0.03428690857142857142857142857
148,27361,129.67298578199052,42,450,60.0,86.0,114.0,7,7,4,5,10,2,5,211,0.02843642654028436018957345972
149,14373,90.96835443037975,42,341,60.0,83.0,108.0,8,7,4,4,10,2,5,158,0.03797617721518987341772151899
150,14182,89.75949367088607,42,341,60.0,83.0,108.0,7,6,4,4,9,2,4,158,0.03797706329113924050632911392
151,16891,99.35882352941177,46,341,60.0,83.0,108.0,9,10,6,8,14,2,6,170,0.03529553529411764705882352941
152,14811,90.3109756097561,46,341,60.0,69.5,108.0,8,10,6,8,13,2,7,164,0.03658574390243902439024390244
153,20543,117.38857142857142,60,450,60.0,83.0,114.0,7,6,4,5,9,2,4,175,0.03428803428571428571428571429
154,24894,130.33507853403142,60,450,60.0,86.0,114.0,7,7,4,5,9,2,5,191,0.03141532984293193717277486911
155,14436,91.94904458598727,60,341,60.0,83.0,108.0,7,6,4,4,9,2,4,157,0.03821741401273885350318471338
156,14754,94.57692307692308,60,341,60.0,83.0,108.0,8,6,4,4,9,2,5,156,0.03846291666666666666666666667
157,14354,92.60645161290323,60,341,60.0,83.0,108.0,8,7,5,5,10,2,5,155,0.03871121290322580645161290323
158,14650,96.38157894736842,60,341,60.0,83.0,108.0,6,5,4,4,7,2,3,152,0.03947468421052631578947368421
159,21238,113.57219251336899,60,450,60.0,83.0,114.0,8,7,4,5,10,2,5,187,0.03208643850267379679144385027
160,22743,134.57396449704143,60,450,60.0,86.0,114.0,7,6,4,5,9,2,4,169,0.03550449704142011834319526627
161,15432,90.24561403508773,42,341,60.0,60.0,108.0,9,10,6,7,14,2,6,171,0.03508985380116959064327485380
162,15183,88.27325581395348,42,341,60.0,60.0,108.0,8,10,6,8,13,2,7,172,0.03488507558139534883720930233
163,15642,94.2289156626506,42,341,60.0,71.5,108.0,7,6,4,4,9,2,4,166,0.03614594578313253012048192771
164,17440,91.30890052356021,42,341,60.0,60.0,108.0,8,7,4,4,10,2,5,191,0.03141397382198952879581151832
165,19138,108.73863636363636,42,450,60.0,83.0,108.0,7,7,4,5,10,2,5,176,0.03409314204545454545454545455
166,24675,129.18848167539267,42,450,60.0,83.0,114.0,8,8,4,5,11,2,6,191,0.03141405235602094240837696335
167,14837,89.37951807228916,42,341,60.0,60.0,108.0,8,7,5,5,10,2,6,166,0.03614595783132530120481927711
168,15789,94.54491017964072,42,341,60.0,83.0,108.0,7,6,4,4,9,2,4,167,0.03592965269461077844311377246
169,16088,94.08187134502924,60,341,60.0,83.0,108.0,7,6,4,4,8,2,4,171,0.03508985380116959064327485380
170,20201,95.739336492891,42,359,60.0,83.0,108.0,7,14,6,9,15,2,7,211,0.02843648341232227488151658768
171,23345,108.5813953488372,42,450,60.0,60.0,108.0,9,13,7,8,15,2,7,215,0.02790871627906976744186046512
172,24506,125.67179487179487,42,450,60.0,83.0,114.0,8,9,5,7,12,2,7,195,0.03077041025641025641025641026
173,15001,95.54777070063695,42,341,60.0,83.0,108.0,7,6,4,4,9,2,4,157,0.03821705732484076433121019108
174,15927,95.94578313253012,42,342,60.0,83.0,108.0,9,9,6,6,11,2,6,166,0.03614688554216867469879518072
175,17416,91.66315789473684,42,341,60.0,71.5,108.0,8,8,4,4,10,2,4,190,0.03157938947368421052631578947
176,14838,93.9113924050633,42,341,60.0,83.0,108.0,8,7,4,4,10,2,5,158,0.03797751898734177215189873418
177,18846,111.51479289940828,42,450,60.0,83.0,108.0,8,8,5,6,11,2,6,169,0.03550397633136094674556213018
178,24579,135.79558011049724,60,450,60.0,86.0,114.0,7,6,4,5,9,2,4,181,0.03315050276243093922651933702
179,13503,92.48630136986301,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,146,0.04109691780821917808219178082
180,16528,94.98850574712644,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,174,0.03448360919540229885057471264
181,21723,92.04661016949153,46,341,60.0,66.0,108.0,9,11,7,9,14,4,6,236,0.02542473728813559322033898305
182,15871,90.17613636363636,42,341,60.0,60.0,108.0,8,9,5,7,11,2,7,176,0.03409230681818181818181818182
183,20751,113.39344262295081,54,450,60.0,83.0,108.0,7,7,5,6,9,5,4,183,0.03278887978142076502732240437
184,23367,132.76704545454547,60,450,60.0,86.0,114.0,8,7,4,5,10,2,5,176,0.03409146590909090909090909091
185,16397,93.69714285714285,60,341,60.0,83.0,108.0,6,5,4,4,7,2,3,175,0.03428704571428571428571428571
186,15003,94.35849056603773,60,341,60.0,83.0,108.0,8,6,4,4,9,2,5,159,0.03773730188679245283018867925
187,14225,92.37012987012987,60,341,60.0,83.0,108.0,8,7,5,5,10,2,5,154,0.03896252597402597402597402597
188,15279,97.31847133757962,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,157,0.03821896815286624203821656051
189,18586,112.64242424242424,60,450,60.0,83.0,108.0,7,7,4,5,9,2,5,165,0.03636417575757575757575757576
190,26128,128.70935960591132,60,450,60.0,86.0,114.0,7,7,4,5,10,2,5,203,0.02955850738916256157635467980
191,16790,99.3491124260355,60,341,60.0,83.0,108.0,9,10,7,8,14,2,6,169,0.03550342603550295857988165680
192,14686,91.21739130434783,46,341,60.0,83.0,108.0,8,9,5,7,12,2,6,161,0.03726949689440993788819875776
193,14899,96.12258064516129,60,341,60.0,83.0,108.0,6,5,4,4,7,2,3,155,0.03871124516129032258064516129
194,14307,91.71153846153847,60,341,60.0,83.0,108.0,8,6,4,4,9,2,5,156,0.03846201923076923076923076923
195,18786,114.54878048780488,60,450,60.0,83.0,108.0,7,6,4,5,9,2,4,164,0.03658782926829268292682926829
196,26335,132.33668341708542,60,450,60.0,86.0,136.0,8,7,4,5,10,2,5,199,0.03015189949748743718592964824
197,14034,91.12987012987013,60,341,60.0,83.0,108.0,7,6,5,5,9,2,4,154,0.03896251298701298701298701299
198,14526,97.48993288590604,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,149,0.04026910738255033557046979866
199,14316,92.36129032258064,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,155,0.03871234838709677419354838710
200,14256,92.57142857142857,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,154,0.03896135714285714285714285714
201,22429,108.87864077669903,42,450,60.0,83.0,108.0,9,11,6,8,15,2,7,206,0.02912725242718446601941747573
202,24180,128.61702127659575,46,450,60.0,83.0,114.0,7,9,6,8,12,2,6,188,0.03191760106382978723404255319
203,15090,97.35483870967742,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,155,0.03871041935483870967741935484
204,332016,65.1267163593566,42,341,60.0,60.0,73.0,8,8,4,4,10,5,5,5098,0.001177294429187916830129462534
205,624655,64.78479568554242,60,341,60.0,60.0,73.0,7,5,4,4,8,5,3,9642,0.0006223185023853972204936735117
206,42315,74.49823943661971,60,341,60.0,60.0,73.0,8,6,4,4,9,5,4,568,0.01083257746478873239436619718
207,19364,111.9306358381503,60,450,60.0,83.0,108.0,8,8,5,6,11,2,6,173,0.03511073988439306358381502890
208,24486,134.53846153846155,60,450,60.0,86.0,114.0,7,7,4,5,10,2,5,182,0.03329692307692307692307692308
209,13985,92.00657894736842,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,152,0.04159351973684210526315789474
210,14952,95.23566878980891,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,157,0.03871422292993630573248407643
211,18573,98.26984126984127,46,341,60.0,83.0,108.0,9,10,6,8,14,2,6,189,0.03199068783068783068783068783
212,14954,90.63030303030303,60,341,60.0,83.0,108.0,8,9,6,7,12,2,7,165,0.03663935757575757575757575758
213,23950,136.07954545454547,60,450,60.0,86.0,114.0,6,6,4,5,8,2,4,176,0.03435597727272727272727272727
214,18955,113.50299401197604,60,450,60.0,83.0,108.0,8,7,4,5,10,2,5,167,0.03597777245508982035928143713
215,15006,94.9746835443038,60,341,60.0,83.0,108.0,7,5,4,4,8,2,3,158,0.03806460759493670886075949367
216,16588,94.78857142857143,60,341,60.0,83.0,108.0,8,6,4,4,9,2,4,175,0.03431391428571428571428571429
217,14641,92.08176100628931,60,341,60.0,83.0,108.0,8,7,5,5,10,2,5,159,0.03790781761006289308176100629
218,14989,94.86708860759494,60,341,60.0,83.0,108.0,7,5,4,4,8,2,4,158,0.03926671518987341772151898734
219,23664,132.20111731843576,60,450,60.0,86.0,114.0,8,7,4,5,10,2,5,179,0.03377272625698324022346368715
220,25169,113.37387387387388,42,450,60.0,86.0,112.0,7,14,6,10,15,2,7,222,0.02734778378378378378378378378
221,18026,87.50485436893204,42,341,60.0,60.0,108.0,9,12,6,7,14,2,6,206,0.02912740776699029126213592233
222,15868,93.89349112426035,42,341,60.0,79.0,108.0,8,9,5,7,12,2,7,169,0.03550433727810650887573964497
223,14313,91.1656050955414,42,341,60.0,83.0,108.0,7,6,4,4,9,2,4,157,0.03821892993630573248407643312
224,16974,97.55172413793103,42,342,60.0,83.0,108.0,9,9,6,6,11,2,6,174,0.03448419540229885057471264368
225,24202,124.75257731958763,42,450,60.0,83.0,114.0,8,9,4,5,11,2,5,194,0.03092815979381443298969072165
226,21544,111.62694300518135,42,450,60.0,83.0,108.0,8,8,4,5,11,2,6,193,0.03108962176165803108808290155
227,15428,96.425,60,341,60.0,83.0,108.0,8,7,5,5,10,2,6,160,0.03750210625
228,14386,88.80246913580247,42,341,60.0,71.5,108.0,7,6,4,4,9,2,4,162,0.03703741358024691358024691358
229,15171,93.07361963190183,42,341,60.0,83.0,108.0,8,7,4,4,10,2,5,163,0.03681225153374233128834355828
230,15234,90.67857142857143,42,341,60.0,83.0,108.0,7,8,5,5,11,2,6,168,0.03571494642857142857142857143
231,28531,126.80444444444444,42,450,60.0,83.0,114.0,9,11,7,8,15,2,7,225,0.02666766222222222222222222222
232,20401,112.0934065934066,42,450,60.0,83.0,108.0,8,9,5,7,12,2,7,182,0.03296905494505494505494505495
233,14313,91.1656050955414,42,341,60.0,83.0,108.0,7,6,4,4,9,2,4,157,0.03821807643312101910828025478
234,15318,93.40243902439025,42,341,60.0,83.0,108.0,8,7,4,4,10,2,5,164,0.03658678658536585365853658537
